,eat,communicate,procreate,do nothing,move L,move D,move R,move U,listen
1,,,,,,,,,
2,,,,,,,,,
11,,,,,,,,,
12,,,,,,,,,
21,,,,,,,,,
22,,,,,,,,,
31,,,,,,,,,
32,,,,,,,,,
41,,,,,,,,,
42,,,,,,,,,
101,,,,-0.78,-1.21,-1.129,-0.7533,-0.8302,-0.8
102,-8.195,,,-5.327,-1.307,-1.451,-5.348,-5.311,-5.499
111,,,,-1.035,-1.461,-1.446,-1.054,-0.9697,-1.008
112,-9.07,,,-5.864,-1.426,-1.395,-5.878,-6.187,-5.917
121,,,,-0.7022,-1.164,-1.117,-0.7461,-0.7552,-0.7135
122,-8.115,,,-4.922,-1.125,-1.088,-5.262,-5.109,-5.212
131,,,,-0.7747,-1.132,-1.082,-0.6644,-0.7101,-0.7684
132,-7.805,,,-5.035,-1,-1.182,-4.781,-4.659,-5.196
141,,,,-0.7827,-1.254,-1.126,-0.8057,-0.7954,-0.8067
142,-8.067,,,-5.218,-1.337,-1.209,-5.06,-5.174,-5.122
201,,-1.576,-0.5903,-2.22,-2.596,-2.647,-2.223,-2.272,-2.269
202,-6.488,-6.12,-2.439,-5.202,-1.844,-1.827,-5.205,-5.279,-5.356
211,,-2.039,-0.7609,-2.792,-3.257,-3.29,-2.771,-2.777,-2.793
212,-7.265,-6.787,-3.265,-6.053,-2.331,-2.241,-6.133,-6.023,-6.085
221,,-1.479,-0.5288,-2.244,-2.505,-2.526,-2.204,-2.231,-2.242
222,-6.338,-6.085,-2.4,-5.163,-1.781,-1.84,-5.417,-5.139,-4.947
231,,-1.434,-0.5314,-2.14,-2.559,-2.551,-2.239,-2.218,-2.191
232,-6.141,-5.679,-2.774,-4.792,-1.862,-1.713,-4.623,-4.823,-4.691
241,,-1.63,-0.5502,-2.396,-2.862,-2.784,-2.504,-2.52,-2.482
242,-6.318,-5.874,-2.777,-4.995,-1.945,-1.917,-5.154,-5.082,-5.067
301,,-2.58,-1.233,-2.852,-3.142,-3.08,-2.837,-2.84,-2.848
302,-5.399,-4.419,-5.99,-4.196,-1.941,-1.978,-4.06,-4.314,-4.225
311,,-3.215,-1.559,-3.524,-3.729,-3.878,-3.511,-3.465,-3.511
312,-6.12,-5.085,-7.069,-5.09,-2.561,-2.398,-4.969,-4.906,-4.871
321,,-2.588,-1.142,-2.887,-3.115,-3.143,-2.878,-2.898,-2.894
322,-5.498,-4.543,-5.957,-4.349,-2.163,-2.125,-4.16,-4.303,-4.228
331,,-2.552,-1.125,-2.836,-3.115,-3.106,-2.848,-2.849,-2.859
332,-5.151,-4.248,-5.893,-4.085,-1.966,-2.174,-3.929,-3.922,-4.084
341,,-2.852,-1.196,-3.016,-3.32,-3.234,-3.028,-3.014,-3.024
342,-4.899,-4.196,-6.005,-4.226,-2.007,-1.91,-3.965,-4.082,-4.04
401,,-2.856,-1.343,-2.721,-2.854,-2.89,-2.688,-2.691,-2.727
402,-3.16,-3.264,-5.068,-3.138,-1.539,-1.304,-3.053,-2.937,-3.094
411,,-3.47,-1.63,-3.332,-3.442,-3.502,-3.33,-3.338,-3.326
412,-3.538,-4.156,-5.771,-3.675,-1.819,-1.959,-3.515,-3.757,-3.615
421,,-2.942,-1.222,-2.835,-3.015,-3.031,-2.833,-2.829,-2.833
422,-3.101,-3.448,-4.951,-2.878,-1.623,-1.681,-2.919,-3.076,-3.13
431,,-2.859,-1.227,-2.71,-2.881,-2.881,-2.734,-2.664,-2.722
432,-3.101,-3.431,-4.866,-3.074,-1.38,-1.584,-2.895,-2.826,-3.039
